REGION,TECHNOLOGY,EMISSION,MODE_OF_OPERATION,YEAR,VALUE
"Region1","IMP_OIL","CO2",1,2030,10.70389373418
"Region1","IMP_OIL","CO2",1,2031,11.14142716476
"Region1","IMP_OIL","CO2",1,2032,11.59684525854
"Region1","IMP_OIL","CO2",1,2033,12.07087906626
"Region1","IMP_OIL","CO2",1,2034,12.5642895228
"Region1","IMP_OIL","CO2",1,2035,13.07786867784
"Region1","MIN_BIO","CO2",1,2018,238.40410558608
"Region1","MIN_BIO","CO2",1,2019,247.274630836888
"Region1","MIN_BIO","CO2",1,2020,256.491350479157
"Region1","MIN_BIO","CO2",1,2021,266.068740152731
"Region1","MIN_BIO","CO2",1,2022,276.021939728526
"Region1","MIN_BIO","CO2",1,2023,286.366787142852
"Region1","MIN_BIO","CO2",1,2024,297.119854441996
"Region1","MIN_BIO","CO2",1,2025,308.298486255428
"Region1","MIN_BIO","CO2",1,2026,319.920839598929
"Region1","MIN_BIO","CO2",1,2027,332.00592702375
"Region1","MIN_BIO","CO2",1,2028,364.798526527064
"Region1","MIN_BIO","CO2",1,2029,377.307967987701
"Region1","MIN_BIO","CO2",1,2030,390.249145482706
"Region1","MIN_BIO","CO2",1,2031,403.83224024338
"Region1","MIN_BIO","CO2",1,2032,414.939867165809
"Region1","MIN_BIO","CO2",1,2033,421.22361205322
"Region1","MIN_BIO","CO2",1,2034,433.681374195984
"Region1","MIN_BIO","CO2",1,2035,464.3331614381
"Region1","MIN_COA","CO2",1,2018,316.347908872077
"Region1","MIN_COA","CO2",1,2019,341.60489172204
"Region1","MIN_COA","CO2",1,2020,371.555465835908
"Region1","MIN_COA","CO2",1,2021,398.024405761241
"Region1","MIN_COA","CO2",1,2022,427.945891342479
"Region1","MIN_COA","CO2",1,2023,460.241923498147
"Region1","MIN_COA","CO2",1,2024,483.160869091402
"Region1","MIN_COA","CO2",1,2025,504.704607113027
"Region1","MIN_COA","CO2",1,2026,549.545041880157
"Region1","MIN_COA","CO2",1,2027,597.876683701189
"Region1","MIN_COA","CO2",1,2028,625.336859799962
"Region1","MIN_COA","CO2",1,2029,661.962075048896
"Region1","MIN_COA","CO2",1,2030,706.232755335515
"Region1","MIN_COA","CO2",1,2031,751.089518847881
"Region1","MIN_COA","CO2",1,2032,796.713684109773
"Region1","MIN_COA","CO2",1,2033,843.053702067429
"Region1","MIN_COA","CO2",1,2034,890.137403539358
"Region1","MIN_COA","CO2",1,2035,937.915975466667
"Region1","MIN_NGS","CO2",1,2018,70.000224028087
"Region1","MIN_NGS","CO2",1,2019,72.1432544831399
"Region1","MIN_NGS","CO2",1,2020,74.3818585890087
"Region1","MIN_NGS","CO2",1,2021,76.7364326799599
"Region1","MIN_NGS","CO2",1,2022,79.213100087929
"Region1","MIN_NGS","CO2",1,2023,81.8183142904869
"Region1","MIN_NGS","CO2",1,2024,84.5588772004941
"Region1","MIN_NGS","CO2",1,2025,87.4419584522798
"Region1","MIN_NGS","CO2",1,2026,90.4751157806259
"Region1","MIN_NGS","CO2",1,2027,93.6663165811696
"Region1","MIN_NGS","CO2",1,2028,98.3928210779929
"Region1","MIN_NGS","CO2",1,2029,105.686872242144
"Region1","MIN_NGS","CO2",1,2030,108.999141293825
"Region1","MIN_NGS","CO2",1,2031,108.999141293825
"Region1","MIN_NGS","CO2",1,2032,112.303493999147
"Region1","MIN_NGS","CO2",1,2033,116.636256820647
"Region1","MIN_NGS","CO2",1,2034,121.196395973531
"Region1","MIN_NGS","CO2",1,2035,138.935707886396
