REGION,TECHNOLOGY,FUEL,YEAR,VALUE
"Region1","COM_CWH_BIO_001","COM_OTH",2026,152.78015254
"Region1","COM_CWH_BIO_001","COM_OTH",2027,172.856132732
"Region1","COM_CWH_BIO_001","COM_OTH",2028,194.117437618
"Region1","COM_CWH_BIO_001","COM_OTH",2029,216.66150621
"Region1","COM_CWH_BIO_001","COM_OTH",2030,240.5937872
"Region1","COM_CWH_BIO_001","COM_OTH",2031,260.3716551
"Region1","COM_CWH_BIO_001","COM_OTH",2032,281.7753508
"Region1","COM_CWH_BIO_001","COM_OTH",2033,304.9385245
"Region1","COM_CWH_BIO_001","COM_OTH",2034,330.0058129
"Region1","COM_CWH_BIO_001","COM_OTH",2035,357.1337428
"Region1","COM_CWH_DSL_001","COM_OTH",2018,41.78543002
"Region1","COM_CWH_DSL_001","COM_OTH",2019,38.30331085
"Region1","COM_CWH_DSL_001","COM_OTH",2020,34.82119168
"Region1","COM_CWH_DSL_001","COM_OTH",2021,31.33907251
"Region1","COM_CWH_DSL_001","COM_OTH",2022,27.85695335
"Region1","COM_CWH_DSL_001","COM_OTH",2023,24.37483418
"Region1","COM_CWH_DSL_001","COM_OTH",2024,20.89271501
"Region1","COM_CWH_DSL_001","COM_OTH",2025,17.4105958399999
"Region1","COM_CWH_DSL_001","COM_OTH",2026,13.92847667
"Region1","COM_CWH_DSL_001","COM_OTH",2027,10.4463575
"Region1","COM_CWH_DSL_001","COM_OTH",2028,6.964238337
"Region1","COM_CWH_DSL_001","COM_OTH",2029,3.482119168
"Region1","COM_CWH_KER_001","COM_OTH",2018,2.968769451
"Region1","COM_CWH_KER_001","COM_OTH",2019,2.721371997
"Region1","COM_CWH_KER_001","COM_OTH",2020,2.473974542
"Region1","COM_CWH_KER_001","COM_OTH",2021,2.226577088
"Region1","COM_CWH_KER_001","COM_OTH",2022,1.979179634
"Region1","COM_CWH_KER_001","COM_OTH",2023,1.73178218
"Region1","COM_CWH_KER_001","COM_OTH",2024,1.484384725
"Region1","COM_CWH_KER_001","COM_OTH",2025,1.236987271
"Region1","COM_CWH_KER_001","COM_OTH",2026,0.989589817
"Region1","COM_CWH_KER_001","COM_OTH",2027,0.742192363
"Region1","COM_CWH_KER_001","COM_OTH",2028,0.494794908
"Region1","COM_CWH_KER_001","COM_OTH",2029,0.247397454
"Region1","COM_CWH_LPG_001","COM_OTH",2018,10.9547592700001
"Region1","COM_CWH_LPG_001","COM_OTH",2019,10.04186267
"Region1","COM_CWH_LPG_001","COM_OTH",2020,9.128966061
"Region1","COM_CWH_LPG_001","COM_OTH",2021,8.216069455
"Region1","COM_CWH_LPG_001","COM_OTH",2022,7.303172849
"Region1","COM_CWH_LPG_001","COM_OTH",2023,6.390276243
"Region1","COM_CWH_LPG_001","COM_OTH",2024,5.477379637
"Region1","COM_CWH_LPG_001","COM_OTH",2025,4.564483031
"Region1","COM_CWH_LPG_001","COM_OTH",2026,3.651586424
"Region1","COM_CWH_LPG_001","COM_OTH",2027,2.738689818
"Region1","COM_CWH_LPG_001","COM_OTH",2028,1.825793212
"Region1","COM_CWH_LPG_001","COM_OTH",2029,0.912896606
"Region1","COM_CWH_NGS_001","COM_OTH",2018,12.17195475
"Region1","COM_CWH_NGS_001","COM_OTH",2019,11.15762519
"Region1","COM_CWH_NGS_001","COM_OTH",2020,10.14329562
"Region1","COM_CWH_NGS_001","COM_OTH",2021,9.128966061
"Region1","COM_CWH_NGS_001","COM_OTH",2022,8.114636499
"Region1","COM_CWH_NGS_001","COM_OTH",2023,7.100306936
"Region1","COM_CWH_NGS_001","COM_OTH",2024,6.085977374
"Region1","COM_CWH_NGS_001","COM_OTH",2025,5.071647812
"Region1","COM_CWH_NGS_001","COM_OTH",2026,4.057318249
"Region1","COM_CWH_NGS_001","COM_OTH",2027,3.042988687
"Region1","COM_CWH_NGS_001","COM_OTH",2028,2.028659125
"Region1","COM_CWH_NGS_001","COM_OTH",2029,1.014329562
"Region1","COM_EL_APP_001","COM_ELC",2018,246.54
"Region1","COM_EL_APP_001","COM_ELC",2019,267.15
"Region1","COM_EL_APP_001","COM_ELC",2020,289.49
"Region1","COM_EL_APP_001","COM_ELC",2021,313.7
"Region1","COM_EL_APP_001","COM_ELC",2022,339.93
"Region1","COM_EL_APP_001","COM_ELC",2023,368.36
"Region1","COM_EL_APP_001","COM_ELC",2024,399.16
"Region1","COM_EL_APP_001","COM_ELC",2025,432.55
"Region1","COM_EL_APP_001","COM_ELC",2026,468.72
"Region1","COM_EL_APP_001","COM_ELC",2027,507.91
"Region1","COM_EL_APP_001","COM_ELC",2028,550.39
"Region1","COM_EL_APP_001","COM_ELC",2029,596.41
"Region1","COM_EL_APP_001","COM_ELC",2030,646.29
"Region1","COM_EL_APP_001","COM_ELC",2031,700.33
"Region1","COM_EL_APP_001","COM_ELC",2032,758.9
"Region1","COM_EL_APP_001","COM_ELC",2033,822.36
"Region1","COM_EL_APP_001","COM_ELC",2034,891.13
"Region1","COM_EL_APP_001","COM_ELC",2035,965.65
"Region1","IMP_DSL","DSL",2018,1559.93846766335
"Region1","IMP_DSL","DSL",2019,1521.26844522503
"Region1","IMP_DSL","DSL",2020,1385.47939036444
"Region1","IMP_DSL","DSL",2021,1374.13936670399
"Region1","IMP_DSL","DSL",2022,1357.59241961065
"Region1","IMP_DSL","DSL",2023,1345.96413935833
"Region1","IMP_DSL","DSL",2024,1357.8289158366
"Region1","IMP_DSL","DSL",2025,1365.22117232892
"Region1","IMP_DSL","DSL",2026,1342.92325269544
"Region1","IMP_DSL","DSL",2027,1306.40506832561
"Region1","IMP_DSL","DSL",2028,1285.30706089974
"Region1","IMP_DSL","DSL",2029,1235.76217676849
"Region1","IMP_DSL","DSL",2030,1176.87985874041
"Region1","IMP_DSL","DSL",2031,1137.65942627407
"Region1","IMP_DSL","DSL",2032,1102.28140238184
