REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,FUEL,YEAR,VALUE
"Region1","S1D1B1","BIOETH_PROD_001",1,"BIOGSL",2025,135.208455531923
"Region1","S1D1B1","BIOETH_PROD_001",1,"BIOGSL",2026,135.208455531923
"Region1","S1D1B1","BIOETH_PROD_001",1,"BIOGSL",2027,134.00586319393
"Region1","S1D1B1","BIOETH_PROD_001",1,"BIOGSL",2028,131.551403779409
"Region1","S1D1B1","BIOETH_PROD_001",1,"BIOGSL",2029,122.535419725722
"Region1","S1D1B1","BIOETH_PROD_001",1,"BIOGSL",2030,113.765697045292
"Region1","S1D1B1","BIOETH_PROD_001",1,"BIOGSL",2031,106.902525899778
"Region1","S1D1B1","BIOETH_PROD_001",1,"BIOGSL",2032,94.6498849697333
"Region1","S1D1B1","BIOETH_PROD_001",1,"BIOGSL",2033,38.3251758888568
"Region1","S1D1B1","BIOETH_PROD_001",1,"BIOGSL",2034,24.8996328319831
"Region1","S1D1B1","BIOETH_PROD_001",1,"BIOGSL",2035,11.2797528891809
"Region1","S1D1B1","COM_CWH_BIO_001",1,"COM_OTH",2018,25.3553101800179
"Region1","S1D1B1","COM_CWH_BIO_001",1,"COM_OTH",2019,38.6776045534553
"Region1","S1D1B1","COM_CWH_BIO_001",1,"COM_OTH",2020,52.6299945964597
"Region1","S1D1B1","COM_CWH_BIO_001",1,"COM_OTH",2021,67.2642767136714
"Region1","S1D1B1","COM_CWH_BIO_001",1,"COM_OTH",2022,82.6365056185619
"Region1","S1D1B1","COM_CWH_BIO_001",1,"COM_OTH",2024,219.086166169851
"Region1","S1D1B1","COM_CWH_BIO_001",1,"COM_OTH",2025,166.313809504041
"Region1","S1D1B1","COM_CWH_BIO_001",1,"COM_OTH",2026,229.193148124812
"Region1","S1D1B1","COM_CWH_BIO_001",1,"COM_OTH",2027,326.945588674106
"Region1","S1D1B1","COM_CWH_BIO_001",1,"COM_OTH",2028,194.13685130313
"Region1","S1D1B1","COM_CWH_BIO_001",1,"COM_OTH",2029,269.312002747048
"Region1","S1D1B1","COM_CWH_BIO_001",1,"COM_OTH",2030,360.926773477348
"Region1","S1D1B1","COM_CWH_BIO_001",1,"COM_OTH",2031,552.571424235993
"Region1","S1D1B1","COM_CWH_BIO_001",1,"COM_OTH",2032,422.705296729673
"Region1","S1D1B1","COM_CWH_BIO_001",1,"COM_OTH",2033,576.770426517874
"Region1","S1D1B1","COM_CWH_BIO_001",1,"COM_OTH",2034,700.351894949066
"Region1","S1D1B1","COM_CWH_BIO_001",1,"COM_OTH",2035,675.494122943068
"Region1","S1D1B1","COM_CWH_DSL_001",1,"COM_OTH",2019,48.4749768213457
"Region1","S1D1B1","COM_CWH_DSL_001",1,"COM_OTH",2020,27.2800769618174
"Region1","S1D1B1","COM_CWH_DSL_001",1,"COM_OTH",2021,52.2162013983234
"Region1","S1D1B1","COM_CWH_DSL_001",1,"COM_OTH",2022,52.2162013983234
"Region1","S1D1B1","COM_CWH_KER_001",1,"COM_OTH",2018,5.77540746392276
"Region1","S1D1B1","COM_CWH_KER_001",1,"COM_OTH",2020,3.13507753656573
"Region1","S1D1B1","COM_CWH_KER_001",1,"COM_OTH",2021,5.77540746392276
"Region1","S1D1B1","COM_CWH_KER_001",1,"COM_OTH",2022,5.77540746392275
"Region1","S1D1B1","COM_CWH_LPG_001",1,"COM_OTH",2018,10.9558548554855
"Region1","S1D1B1","COM_CWH_LPG_001",1,"COM_OTH",2019,13.8680605855545
"Region1","S1D1B1","COM_CWH_LPG_001",1,"COM_OTH",2023,17.2668168356346
"Region1","S1D1B1","COM_CWH_LPG_001",1,"COM_OTH",2028,12.8398898207669
"Region1","S1D1B1","COM_CWH_NGS_001",1,"COM_OTH",2018,12.1731720672067
"Region1","S1D1B1","COM_CWH_NGS_001",1,"COM_OTH",2019,11.1587410641064
"Region1","S1D1B1","COM_CWH_NGS_001",1,"COM_OTH",2020,10.1443100510051
"Region1","S1D1B1","COM_CWH_NGS_001",1,"COM_OTH",2021,9.12987904890489
"Region1","S1D1B1","COM_CWH_NGS_001",1,"COM_OTH",2022,8.11544804380438
"Region1","S1D1B1","COM_CWH_NGS_001",1,"COM_OTH",2023,7.10101703770377
"Region1","S1D1B1","COM_CWH_NGS_001",1,"COM_OTH",2024,6.08658603260326
"Region1","S1D1B1","COM_CWH_NGS_001",1,"COM_OTH",2025,5.07215502750275
"Region1","S1D1B1","COM_CWH_NGS_001",1,"COM_OTH",2026,4.05772402140214
"Region1","S1D1B1","COM_CWH_NGS_001",1,"COM_OTH",2027,3.04329301630163
"Region1","S1D1B1","COM_CWH_NGS_001",1,"COM_OTH",2028,2.02886201120112
"Region1","S1D1B1","COM_CWH_NGS_001",1,"COM_OTH",2029,1.01443100510051
"Region1","S1D1B1","COM_EL_APP_001",1,"COM_ELC",2018,89.3908629441625
"Region1","S1D1B1","COM_EL_APP_001",1,"COM_ELC",2019,96.8636693255983
"Region1","S1D1B1","COM_EL_APP_001",1,"COM_ELC",2020,104.963741841914
"Region1","S1D1B1","COM_EL_APP_001",1,"COM_ELC",2021,113.741841914431
"Region1","S1D1B1","COM_EL_APP_001",1,"COM_ELC",2022,123.252356780276
"Region1","S1D1B1","COM_EL_APP_001",1,"COM_ELC",2023,133.560551124003
"Region1","S1D1B1","COM_EL_APP_001",1,"COM_ELC",2024,144.728063814358
"Region1","S1D1B1","COM_EL_APP_001",1,"COM_ELC",2025,156.83466279913
"Region1","S1D1B1","COM_EL_APP_001",1,"COM_ELC",2026,169.94923857868
"Region1","S1D1B1","COM_EL_APP_001",1,"COM_ELC",2027,184.158810732415
"Region1","S1D1B1","COM_EL_APP_001",1,"COM_ELC",2028,199.561276287165
"Region1","S1D1B1","COM_EL_APP_001",1,"COM_ELC",2029,216.247280638144
"Region1","S1D1B1","COM_EL_APP_001",1,"COM_ELC",2030,234.332849891226
"Region1","S1D1B1","COM_EL_APP_001",1,"COM_ELC",2031,253.926758520667
"Region1","S1D1B1","COM_EL_APP_001",1,"COM_ELC",2032,275.163161711385
"Region1","S1D1B1","COM_EL_APP_001",1,"COM_ELC",2033,298.172588832487
"Region1","S1D1B1","COM_EL_APP_001",1,"COM_ELC",2034,323.107324147933
"Region1","S1D1B1","COM_EL_APP_001",1,"COM_ELC",2035,350.126903553299
"Region1","S1D1B1","IMP_DSL",1,"DSL",2018,1560.09447711106
"Region1","S1D1B1","IMP_DSL",1,"DSL",2019,1521.42058728376
"Region1","S1D1B1","IMP_DSL",1,"DSL",2020,1385.61795215966
"Region1","S1D1B1","IMP_DSL",1,"DSL",2021,1307.63376627814
"Region1","S1D1B1","IMP_DSL",1,"DSL",2022,1357.72819242989
"Region1","S1D1B1","IMP_DSL",1,"DSL",2023,1377.51532410592
"Region1","S1D1B1","IMP_DSL",1,"DSL",2024,1357.96471230783
"Region1","S1D1B1","IMP_DSL",1,"DSL",2025,1365.35770809973
"Region1","S1D1B1","IMP_DSL",1,"DSL",2026,1315.54109957713
"Region1","S1D1B1","IMP_DSL",1,"DSL",2027,1381.3681292133
"Region1","S1D1B1","IMP_DSL",1,"DSL",2028,1183.82050178091
"Region1","S1D1B1","IMP_DSL",1,"DSL",2029,1035.78952111752
"Region1","S1D1B1","IMP_DSL",1,"DSL",2030,1185.18546849097
"Region1","S1D1B1","IMP_DSL",1,"DSL",2031,1277.0321476773
"Region1","S1D1B1","IMP_DSL",1,"DSL",2032,997.649587561482
"Region1","S1D1B1","IMP_DSL",1,"DSL",2033,938.694619789369
"Region1","S1D1B1","IMP_DSL",1,"DSL",2034,992.234967356977
"Region1","S1D1B1","IMP_DSL",1,"DSL",2035,908.891996769038
"Region1","S1D1B1","IMP_GSL",1,"GSL",2018,721.408696625445
"Region1","S1D1B1","IMP_GSL",1,"GSL",2019,708.031009311879
"Region1","S1D1B1","IMP_GSL",1,"GSL",2020,679.001919856796
"Region1","S1D1B1","IMP_GSL",1,"GSL",2021,683.554762945266
"Region1","S1D1B1","IMP_GSL",1,"GSL",2022,687.541669800162
"Region1","S1D1B1","IMP_GSL",1,"GSL",2023,681.141415501117
"Region1","S1D1B1","IMP_GSL",1,"GSL",2024,666.450522069838
"Region1","S1D1B1","IMP_GSL",1,"GSL",2025,555.762407127692
"Region1","S1D1B1","IMP_GSL",1,"GSL",2026,555.762407127691
"Region1","S1D1B1","IMP_GSL",1,"GSL",2027,550.952037775721
"Region1","S1D1B1","IMP_GSL",1,"GSL",2028,541.134200117637
"Region1","S1D1B1","IMP_GSL",1,"GSL",2029,505.070263902889
"Region1","S1D1B1","IMP_GSL",1,"GSL",2030,469.991373181169
"Region1","S1D1B1","IMP_GSL",1,"GSL",2031,437.509031099111
"Region1","S1D1B1","IMP_GSL",1,"GSL",2032,383.585097378933
"Region1","S1D1B1","IMP_GSL",1,"GSL",2033,153.300703555427
"Region1","S1D1B1","IMP_GSL",1,"GSL",2034,99.5985313279326
"Region1","S1D1B1","IMP_GSL",1,"GSL",2035,45.1190115567236
"Region1","S1D1B1","IMP_KER",1,"KER",2018,141.942386306884
"Region1","S1D1B1","IMP_KER",1,"KER",2019,174.558180324749
"Region1","S1D1B1","IMP_KER",1,"KER",2020,174.558180324748
"Region1","S1D1B1","IMP_KER",1,"KER",2021,130.500416965633
"Region1","S1D1B1","IMP_KER",1,"KER",2022,95.3341359723062
"Region1","S1D1B1","IMP_KER",1,"KER",2023,16.3382437990633
"Region1","S1D1B1","IMP_KER",1,"KER",2024,314.714700732154
"Region1","S1D1B1","IMP_KER",1,"KER",2025,312.008660213152
"Region1","S1D1B1","IMP_KER",1,"KER",2027,488.364632952135
"Region1","S1D1B1","IMP_KER",1,"KER",2028,41.3502561695016
"Region1","S1D1B1","IMP_KER",1,"KER",2029,227.887096039611
"Region1","S1D1B1","IMP_KER",1,"KER",2030,129.100889649609
"Region1","S1D1B1","IMP_KER",1,"KER",2031,230.238025961281
"Region1","S1D1B1","IMP_KER",1,"KER",2032,74.8107402209013
"Region1","S1D1B1","IMP_KER",1,"KER",2033,489.196000548687
"Region1","S1D1B1","IMP_KER",1,"KER",2034,50.9812690936113
"Region1","S1D1B1","IMP_KER",1,"KER",2035,303.331737108493
"Region1","S1D1B1","IMP_LPG",1,"LPG",2018,327.732391587159
"Region1","S1D1B1","IMP_LPG",1,"LPG",2019,300.421358869887
"Region1","S1D1B1","IMP_LPG",1,"LPG",2020,313.662233094861
"Region1","S1D1B1","IMP_LPG",1,"LPG",2021,285.121477578886
"Region1","S1D1B1","IMP_LPG",1,"LPG",2022,218.488261061106
"Region1","S1D1B1","IMP_LPG",1,"LPG",2023,191.177228336834
"Region1","S1D1B1","IMP_LPG",1,"LPG",2024,163.86619579558
"Region1","S1D1B1","IMP_LPG",1,"LPG",2025,188.567197413341
"Region1","S1D1B1","IMP_LPG",1,"LPG",2026,109.244130530053
"Region1","S1D1B1","IMP_LPG",1,"LPG",2027,109.403030275888
"Region1","S1D1B1","IMP_LPG",1,"LPG",2028,54.6220652645264
"Region1","S1D1B1","IND_BIO_AUTOPRD",1,"BIO_AUTOPRD",2018,58.1738673557357
