REGION,TECHNOLOGY,EMISSION,MODE_OF_OPERATION,YEAR,VALUE
"Region1","IMP_LPG","CO2",1,2029,1.7231538264799
"Region1","IMP_OIL","CO2",1,2018,6.4277198355333
"Region1","IMP_OIL","CO2",1,2019,6.31556675897767
"Region1","IMP_OIL","CO2",1,2020,6.18341213310093
"Region1","IMP_OIL","CO2",1,2021,6.02980436018047
"Region1","IMP_OIL","CO2",1,2023,5.6519913769198
"Region1","IMP_OIL","CO2",1,2024,5.42443744505158
"Region1","IMP_OIL","CO2",1,2025,5.16872309326556
"Region1","IMP_OIL","CO2",1,2026,4.88292168528796
"Region1","IMP_OIL","CO2",1,2027,4.56499593833642
"Region1","IMP_OIL","CO2",1,2028,4.21279208878188
"Region1","IMP_OIL","CO2",1,2029,3.82403376539153
"Region1","IMP_OIL","CO2",1,2030,3.39631555598193
"Region1","IMP_OIL","CO2",1,2031,3.54128516341194
"Region1","IMP_OIL","CO2",1,2032,3.68647785511184
"Region1","IMP_OIL","CO2",1,2033,3.83762344717142
"Region1","IMP_OIL","CO2",1,2034,3.99496600850545
"Region1","IMP_OIL","CO2",1,2035,4.15875961485417
"Region1","MIN_BIO","CO2",1,2018,100.984500540749
"Region1","MIN_BIO","CO2",1,2019,114.098529035333
"Region1","MIN_BIO","CO2",1,2020,126.341730813787
"Region1","MIN_BIO","CO2",1,2021,147.423312931747
"Region1","MIN_BIO","CO2",1,2022,159.65954921827
"Region1","MIN_BIO","CO2",1,2023,172.193252986005
"Region1","MIN_BIO","CO2",1,2024,167.526975906857
"Region1","MIN_BIO","CO2",1,2025,169.554811514981
"Region1","MIN_BIO","CO2",1,2026,162.882447497208
"Region1","MIN_BIO","CO2",1,2027,156.929061827465
"Region1","MIN_BIO","CO2",1,2028,180.6
"Region1","MIN_BIO","CO2",1,2029,180.6
"Region1","MIN_BIO","CO2",1,2030,180.6
"Region1","MIN_BIO","CO2",1,2031,180.6
"Region1","MIN_BIO","CO2",1,2032,180.6
"Region1","MIN_BIO","CO2",1,2033,180.6
"Region1","MIN_BIO","CO2",1,2034,180.6
"Region1","MIN_BIO","CO2",1,2035,180.6
"Region1","MIN_COA","CO2",1,2018,352.58461453348
"Region1","MIN_COA","CO2",1,2019,357.304209608551
"Region1","MIN_COA","CO2",1,2020,364.447948130485
"Region1","MIN_COA","CO2",1,2021,382.377509653442
"Region1","MIN_COA","CO2",1,2022,415.330421593606
"Region1","MIN_COA","CO2",1,2023,444.588414177441
"Region1","MIN_COA","CO2",1,2024,484.035489418962
"Region1","MIN_COA","CO2",1,2025,451.960735162155
"Region1","MIN_COA","CO2",1,2026,506.758470152997
"Region1","MIN_COA","CO2",1,2027,564.992838553414
"Region1","MIN_COA","CO2",1,2028,599.057769403266
"Region1","MIN_COA","CO2",1,2029,659.752610275678
"Region1","MIN_COA","CO2",1,2030,729.309390564045
"Region1","MIN_COA","CO2",1,2031,792.714754504896
"Region1","MIN_COA","CO2",1,2032,860.244283849908
"Region1","MIN_COA","CO2",1,2033,928.443661237062
"Region1","MIN_COA","CO2",1,2034,997.343482354755
"Region1","MIN_COA","CO2",1,2035,1066.70683853265
"Region1","MIN_LIG","CO2",1,2021,6.30618552525931
"Region1","MIN_LIG","CO2",1,2022,15.3150219899155
"Region1","MIN_LIG","CO2",1,2023,23.6778236776971
"Region1","MIN_LIG","CO2",1,2024,23.6778236776972
"Region1","MIN_LIG","CO2",1,2025,23.6778236776971
"Region1","MIN_LIG","CO2",1,2026,26.0039947264793
"Region1","MIN_LIG","CO2",1,2027,33.4700644804024
"Region1","MIN_LIG","CO2",1,2028,42.7168995699113
"Region1","MIN_LIG","CO2",1,2029,42.7168995699113
"Region1","MIN_LIG","CO2",1,2030,42.7168995699113
"Region1","MIN_LIG","CO2",1,2031,42.7168995699113
"Region1","MIN_LIG","CO2",1,2032,42.7168995699113
"Region1","MIN_LIG","CO2",1,2033,42.7168995699113
"Region1","MIN_LIG","CO2",1,2034,42.7168995699113
"Region1","MIN_LIG","CO2",1,2035,42.7168995699113
"Region1","MIN_NGS","CO2",1,2018,55.5220757120104
"Region1","MIN_NGS","CO2",1,2019,65.4553248697009
"Region1","MIN_NGS","CO2",1,2020,77.4899050327931
"Region1","MIN_NGS","CO2",1,2021,77.5950464177411
"Region1","MIN_NGS","CO2",1,2022,77.5950464177411
"Region1","MIN_NGS","CO2",1,2023,77.595046417741
"Region1","MIN_NGS","CO2",1,2024,77.595046417741
"Region1","MIN_NGS","CO2",1,2025,107.817490593998
"Region1","MIN_NGS","CO2",1,2026,118.76367600674
"Region1","MIN_NGS","CO2",1,2027,125.808869553318
"Region1","MIN_NGS","CO2",1,2028,126.265143717962
"Region1","MIN_NGS","CO2",1,2029,132.236918898827
"Region1","MIN_NGS","CO2",1,2030,132.940394445105
"Region1","MIN_NGS","CO2",1,2031,134.489626508171
"Region1","MIN_NGS","CO2",1,2032,136.520423067087
"Region1","MIN_NGS","CO2",1,2033,145.037182801261
"Region1","MIN_NGS","CO2",1,2034,154.005525694056
"Region1","MIN_NGS","CO2",1,2035,164.819687156
"Region1","MIN_OIL","CO2",1,2022,5.85320643408479
