REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
"Region1","BIO_RESPRD",1,2018,199.229678098327
"Region1","BIO_RESPRD",1,2019,277.094951358499
"Region1","BIO_RESPRD",1,2020,535.864164311664
"Region1","BIO_RESPRD",1,2021,571.821680323687
"Region1","BIO_RESPRD",1,2022,592.812911333271
"Region1","BIO_RESPRD",1,2023,655.636955973721
"Region1","BIO_RESPRD",1,2024,676.141207541967
"Region1","BIO_RESPRD",1,2025,701.679192223819
"Region1","BIO_RESPRD",1,2026,744.040717114177
"Region1","BIO_RESPRD",1,2027,744.040717114177
"Region1","BIO_RESPRD",1,2028,744.040717114177
"Region1","BIO_RESPRD",1,2029,744.040717114177
"Region1","BIO_RESPRD",1,2030,744.040717114177
"Region1","BIO_RESPRD",1,2031,743.005443728304
"Region1","BIO_RESPRD",1,2032,725.855664544902
"Region1","BIO_RESPRD",1,2033,688.370405460273
"Region1","BIO_RESPRD",1,2034,696.010511165529
"Region1","BIO_RESPRD",1,2035,577.310772241291
"Region1","BIO_RESPRD2",1,2018,0.0355297430101817
"Region1","BIO_RESPRD2",1,2019,41.9682816775597
"Region1","BIO_RESPRD2",1,2020,132.75774309234
"Region1","BIO_RESPRD2",1,2021,132.671881908318
"Region1","BIO_RESPRD2",1,2022,133.462982306238
"Region1","BIO_RESPRD2",1,2023,132.193014407052
"Region1","BIO_RESPRD2",1,2024,129.277979754308
"Region1","BIO_RESPRD2",1,2025,241.458153349856
"Region1","BIO_RESPRD2",1,2026,241.458153349856
"Region1","BIO_RESPRD2",1,2027,239.310538217193
"Region1","BIO_RESPRD2",1,2028,235.424894355652
"Region1","BIO_RESPRD2",1,2029,224.316502329425
"Region1","BIO_RESPRD2",1,2030,208.226447300709
"Region1","BIO_RESPRD2",1,2031,190.908818465877
"Region1","BIO_RESPRD2",1,2032,169.027790086488
"Region1","BIO_RESPRD2",1,2033,99.6713936750943
"Region1","BIO_RESPRD2",1,2034,44.4662971634982
"Region1","BIO_RESPRD2",1,2035,20.1436240962109
"Region1","BIODSL_PROD_001",1,2018,103.6035767542
"Region1","BIODSL_PROD_001",1,2019,144.09513851196
"Region1","BIODSL_PROD_001",1,2020,278.66051186254
"Region1","BIODSL_PROD_001",1,2021,297.359168135043
"Region1","BIODSL_PROD_001",1,2022,308.275044895097
"Region1","BIODSL_PROD_001",1,2023,340.944854900531
"Region1","BIODSL_PROD_001",1,2024,351.607492221511
"Region1","BIODSL_PROD_001",1,2025,364.887775467405
"Region1","BIODSL_PROD_001",1,2026,386.916649565355
"Region1","BIODSL_PROD_001",1,2027,386.916649565355
"Region1","BIODSL_PROD_001",1,2028,386.916649565355
"Region1","BIODSL_PROD_001",1,2029,386.916649565355
"Region1","BIODSL_PROD_001",1,2030,386.916649565355
"Region1","BIODSL_PROD_001",1,2031,386.378285870153
"Region1","BIODSL_PROD_001",1,2032,377.460043965107
"Region1","BIODSL_PROD_001",1,2033,357.966929516523
"Region1","BIODSL_PROD_001",1,2034,361.939943403811
"Region1","BIODSL_PROD_001",1,2035,300.213610109876
"Region1","BIOETH_PROD_001",1,2018,0.019893473130001
"Region1","BIOETH_PROD_001",1,2019,23.4984779829561
"Region1","BIOETH_PROD_001",1,2020,74.33244294084
"Region1","BIOETH_PROD_001",1,2021,74.284368369719
"Region1","BIOETH_PROD_001",1,2022,74.727313721298
"Region1","BIOETH_PROD_001",1,2023,74.016245468674
"Region1","BIOETH_PROD_001",1,2024,72.384087208459
"Region1","BIOETH_PROD_001",1,2025,135.19493468637
"Region1","BIOETH_PROD_001",1,2026,135.19493468637
"Region1","BIOETH_PROD_001",1,2027,133.992462607611
"Region1","BIOETH_PROD_001",1,2028,131.816850143142
"Region1","BIOETH_PROD_001",1,2029,125.597145761156
"Region1","BIOETH_PROD_001",1,2030,116.588156383376
"Region1","BIOETH_PROD_001",1,2031,106.891835647188
"Region1","BIOETH_PROD_001",1,2032,94.6404199812364
"Region1","BIOETH_PROD_001",1,2033,55.80705132984
"Region1","BIOETH_PROD_001",1,2034,24.8971428687
"Region1","BIOETH_PROD_001",1,2035,11.2786249138919
"Region1","COM_CWH_BIO_001",1,2018,25.352774649
"Region1","COM_CWH_BIO_001",1,2019,38.673736793
"Region1","COM_CWH_BIO_001",1,2020,52.624731597
"Region1","COM_CWH_BIO_001",1,2021,67.257550286
"Region1","COM_CWH_BIO_001",1,2022,82.628241968
"Region1","COM_CWH_BIO_001",1,2023,98.797463061
"Region1","COM_CWH_BIO_001",1,2024,115.830856054
"Region1","COM_CWH_BIO_001",1,2025,133.799459746
"Region1","COM_CWH_BIO_001",1,2026,152.78015254
"Region1","COM_CWH_BIO_001",1,2027,172.856132732
"Region1","COM_CWH_BIO_001",1,2028,194.117437618
"Region1","COM_CWH_BIO_001",1,2029,216.66150621
"Region1","COM_CWH_BIO_001",1,2030,240.5937872
"Region1","COM_CWH_BIO_001",1,2031,260.3716551
"Region1","COM_CWH_BIO_001",1,2032,281.7753508
"Region1","COM_CWH_BIO_001",1,2033,304.9385245
"Region1","COM_CWH_BIO_001",1,2034,330.0058129
"Region1","COM_CWH_BIO_001",1,2035,357.1337428
"Region1","COM_CWH_DSL_001",1,2018,41.78543002
"Region1","COM_CWH_DSL_001",1,2019,38.30331085
"Region1","COM_CWH_DSL_001",1,2020,34.82119168
"Region1","COM_CWH_DSL_001",1,2021,31.33907251
"Region1","COM_CWH_DSL_001",1,2022,27.85695335
"Region1","COM_CWH_DSL_001",1,2023,24.37483418
"Region1","COM_CWH_DSL_001",1,2024,20.89271501
"Region1","COM_CWH_DSL_001",1,2025,17.41059584
"Region1","COM_CWH_DSL_001",1,2026,13.92847667
"Region1","COM_CWH_DSL_001",1,2027,10.4463575
"Region1","COM_CWH_DSL_001",1,2028,6.964238337
"Region1","COM_CWH_DSL_001",1,2029,3.482119168
"Region1","COM_CWH_KER_001",1,2018,2.968769451
"Region1","COM_CWH_KER_001",1,2019,2.721371997
"Region1","COM_CWH_KER_001",1,2020,2.473974542
"Region1","COM_CWH_KER_001",1,2021,2.226577088
"Region1","COM_CWH_KER_001",1,2022,1.979179634
"Region1","COM_CWH_KER_001",1,2023,1.73178218
"Region1","COM_CWH_KER_001",1,2024,1.484384725
"Region1","COM_CWH_KER_001",1,2025,1.236987271
"Region1","COM_CWH_KER_001",1,2026,0.989589817
"Region1","COM_CWH_KER_001",1,2027,0.742192362999998
"Region1","COM_CWH_KER_001",1,2028,0.494794908
"Region1","COM_CWH_KER_001",1,2029,0.247397454
"Region1","COM_CWH_LPG_001",1,2018,10.95475927
"Region1","COM_CWH_LPG_001",1,2019,10.04186267
"Region1","COM_CWH_LPG_001",1,2020,9.128966061
"Region1","COM_CWH_LPG_001",1,2021,8.216069455
"Region1","COM_CWH_LPG_001",1,2022,7.303172849
"Region1","COM_CWH_LPG_001",1,2023,6.390276243
"Region1","COM_CWH_LPG_001",1,2024,5.477379637
"Region1","COM_CWH_LPG_001",1,2025,4.564483031
"Region1","COM_CWH_LPG_001",1,2026,3.651586424
"Region1","COM_CWH_LPG_001",1,2027,2.738689818
"Region1","COM_CWH_LPG_001",1,2028,1.825793212
"Region1","COM_CWH_LPG_001",1,2029,0.912896606
"Region1","COM_CWH_NGS_001",1,2018,12.17195475
"Region1","COM_CWH_NGS_001",1,2019,11.15762519
"Region1","COM_CWH_NGS_001",1,2020,10.14329562
