REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
"Region1","S1D1B1","COM_CWH_LPG_001",1,2028,66.9192681968197
"Region1","S1D1B1","COM_CWH_LPG_001",1,2029,66.9192681968197
"Region1","S1D1B1","COM_CWH_LPG_001",1,2030,68.3327441624365
"Region1","S1D1B1","COM_CWH_LPG_001",1,2031,51.7278586878485
"Region1","S1D1B1","COM_CWH_LPG_001",1,2035,107.499626432643
"Region1","S1D1B1","COM_CWH_NGS_001",1,2018,12.1731720672067
"Region1","S1D1B1","COM_CWH_NGS_001",1,2019,13.1738603660366
"Region1","S1D1B1","COM_CWH_NGS_001",1,2020,14.2568096609661
"Region1","S1D1B1","COM_CWH_NGS_001",1,2021,15.4287821382138
"Region1","S1D1B1","COM_CWH_NGS_001",1,2022,16.6970959195919
"Region1","S1D1B1","COM_CWH_NGS_001",1,2023,18.0696706770677
"Region1","S1D1B1","COM_CWH_NGS_001",1,2024,19.5550771077108
"Region1","S1D1B1","COM_CWH_NGS_001",1,2025,21.1625904890489
"Region1","S1D1B1","COM_CWH_NGS_001",1,2026,22.9022485448544
"Region1","S1D1B1","COM_CWH_NGS_001",1,2027,30.8047677439403
"Region1","S1D1B1","COM_CWH_NGS_001",1,2028,26.8223431443144
"Region1","S1D1B1","COM_CWH_NGS_001",1,2029,29.0272577657765
"Region1","S1D1B1","COM_CWH_NGS_001",1,2030,36.4388453944315
"Region1","S1D1B1","COM_CWH_NGS_001",1,2031,33.9957479147914
"Region1","S1D1B1","COM_CWH_NGS_001",1,2033,54.9795539152051
"Region1","S1D1B1","COM_CWH_NGS_001",1,2034,43.0876180418042
"Region1","S1D1B1","COM_CWH_NGS_001",1,2035,88.1879078305277
"Region1","S1D1B1","COM_EL_APP_001",1,2018,89.3908629441625
"Region1","S1D1B1","COM_EL_APP_001",1,2019,96.8636693255983
"Region1","S1D1B1","COM_EL_APP_001",1,2020,104.963741841914
"Region1","S1D1B1","COM_EL_APP_001",1,2021,113.741841914431
"Region1","S1D1B1","COM_EL_APP_001",1,2022,123.252356780276
"Region1","S1D1B1","COM_EL_APP_001",1,2023,133.560551124003
"Region1","S1D1B1","COM_EL_APP_001",1,2024,144.728063814358
"Region1","S1D1B1","COM_EL_APP_001",1,2025,156.83466279913
"Region1","S1D1B1","COM_EL_APP_001",1,2026,169.94923857868
"Region1","S1D1B1","COM_EL_APP_001",1,2027,184.158810732415
"Region1","S1D1B1","COM_EL_APP_001",1,2028,199.561276287165
"Region1","S1D1B1","COM_EL_APP_001",1,2029,216.247280638144
"Region1","S1D1B1","COM_EL_APP_001",1,2030,234.332849891226
"Region1","S1D1B1","COM_EL_APP_001",1,2031,253.926758520667
"Region1","S1D1B1","COM_EL_APP_001",1,2032,275.163161711385
"Region1","S1D1B1","COM_EL_APP_001",1,2033,298.172588832487
"Region1","S1D1B1","COM_EL_APP_001",1,2034,323.107324147933
"Region1","S1D1B1","COM_EL_APP_001",1,2035,350.126903553299
"Region1","S1D1B1","IMP_DSL",1,2018,1508.20878405508
"Region1","S1D1B1","IMP_DSL",1,2019,1563.89047430322
"Region1","S1D1B1","IMP_DSL",1,2020,1615.80793615728
"Region1","S1D1B1","IMP_DSL",1,2021,1673.37389669909
"Region1","S1D1B1","IMP_DSL",1,2022,1727.88434510059
"Region1","S1D1B1","IMP_DSL",1,2023,1787.8511059093
"Region1","S1D1B1","IMP_DSL",1,2024,1870.67894392949
"Region1","S1D1B1","IMP_DSL",1,2025,1959.36703855167
"Region1","S1D1B1","IMP_DSL",1,2026,2052.46937525137
"Region1","S1D1B1","IMP_DSL",1,2027,1763.66440810119
"Region1","S1D1B1","IMP_DSL",1,2028,2252.85215605585
"Region1","S1D1B1","IMP_DSL",1,2029,2360.63276069079
"Region1","S1D1B1","IMP_DSL",1,2030,2473.82945206736
"Region1","S1D1B1","IMP_DSL",1,2031,2592.72829103411
"Region1","S1D1B1","IMP_DSL",1,2032,2717.63127223843
"Region1","S1D1B1","IMP_DSL",1,2033,2912.82353938454
"Region1","S1D1B1","IMP_DSL",1,2034,1939.1549867723
"Region1","S1D1B1","IMP_DSL",1,2035,3250.42542990871
"Region1","S1D1B1","IMP_GSL",1,2018,721.556766080468
"Region1","S1D1B1","IMP_GSL",1,2019,756.011607299689
"Region1","S1D1B1","IMP_GSL",1,2020,792.111691429783
"Region1","S1D1B1","IMP_GSL",1,2021,829.935579812142
"Region1","S1D1B1","IMP_GSL",1,2022,869.565585344055
"Region1","S1D1B1","IMP_GSL",1,2023,911.087951651326
"Region1","S1D1B1","IMP_GSL",1,2024,954.593039559037
"Region1","S1D1B1","IMP_GSL",1,2025,1000.17552608669
"Region1","S1D1B1","IMP_GSL",1,2026,640.108691264127
"Region1","S1D1B1","IMP_GSL",1,2027,1166.33228900966
"Region1","S1D1B1","IMP_GSL",1,2028,1150.40325891301
"Region1","S1D1B1","IMP_GSL",1,2029,1205.33582094237
"Region1","S1D1B1","IMP_GSL",1,2030,1262.89145091869
"Region1","S1D1B1","IMP_GSL",1,2031,1323.19540293237
"Region1","S1D1B1","IMP_GSL",1,2032,1386.37891058026
"Region1","S1D1B1","IMP_GSL",1,2033,1452.57947486645
"Region1","S1D1B1","IMP_GSL",1,2034,1616.69471568548
"Region1","S1D1B1","IMP_GSL",1,2035,1693.89302104266
"Region1","S1D1B1","IMP_KER",1,2018,164.605896565169
"Region1","S1D1B1","IMP_KER",1,2019,11.4420142549364
"Region1","S1D1B1","IMP_KER",1,2020,13.0012257989236
"Region1","S1D1B1","IMP_KER",1,2021,95.6181995788687
"Region1","S1D1B1","IMP_KER",1,2022,112.673753870921
"Region1","S1D1B1","IMP_KER",1,2024,46.5889485789574
"Region1","S1D1B1","IMP_KER",1,2025,172.296637417132
"Region1","S1D1B1","IMP_KER",1,2026,52.001765813882
"Region1","S1D1B1","IMP_KER",1,2027,10.5643194382453
"Region1","S1D1B1","IMP_KER",1,2028,241.488077147822
"Region1","S1D1B1","IMP_KER",1,2029,348.934361917927
"Region1","S1D1B1","IMP_KER",1,2030,247.670491146922
"Region1","S1D1B1","IMP_KER",1,2031,374.659278331479
"Region1","S1D1B1","IMP_KER",1,2032,21.688078989606
"Region1","S1D1B1","IMP_KER",1,2033,485.244919788875
"Region1","S1D1B1","IMP_KER",1,2034,31.5275254125413
"Region1","S1D1B1","IMP_KER",1,2035,7.37803508376914e-06
"Region1","S1D1B1","IMP_LPG",1,2018,327.732391587159
"Region1","S1D1B1","IMP_LPG",1,2019,339.434044482448
"Region1","S1D1B1","IMP_LPG",1,2020,351.57876759876
"Region1","S1D1B1","IMP_LPG",1,2021,417.347106496209
"Region1","S1D1B1","IMP_LPG",1,2022,565.909949974497
"Region1","S1D1B1","IMP_LPG",1,2023,390.863442726272
"Region1","S1D1B1","IMP_LPG",1,2024,404.97743919892
"Region1","S1D1B1","IMP_LPG",1,2026,504.438538437355
